"Gennemsnitsalder efter køn, kommune og tid"

" "," ","2007","2011","2015"
"I alt"
" ","Hele landet",39.9,40.4,41.1
" ","Region Hovedstaden",39.5,39.5,39.8
" ","København",37.0,36.2,35.9
" ","Frederiksberg",40.7,39.6,39.4
" ","Dragør",42.6,43.2,43.9
" ","Tårnby",41.5,41.4,41.4
" ","Albertslund",37.2,38.1,39.1
" ","Ballerup",40.2,40.8,41.7
" ","Brøndby",40.7,41.2,41.3
" ","Gentofte",41.5,41.2,41.4
" ","Gladsaxe",40.1,39.7,39.7
" ","Glostrup",41.2,41.1,41.1
" ","Herlev",40.9,41.3,41.0
" ","Hvidovre",39.9,40.0,40.0
" ","Høje-Taastrup",38.3,38.9,39.7
" ","Ishøj",36.7,37.8,38.5
" ","Lyngby-Taarbæk",42.2,41.8,41.7
" ","Rødovre",41.3,41.2,41.3
" ","Vallensbæk",40.6,39.3,39.8
" ","Allerød",39.0,40.2,41.7
" ","Egedal",37.8,38.9,40.3
" ","Fredensborg",39.9,41.2,42.6
" ","Frederikssund",40.3,41.6,43.2
" ","Furesø",40.2,41.0,42.1
" ","Gribskov",41.6,43.2,44.9
" ","Halsnæs",41.8,42.9,44.6
" ","Helsingør",41.2,42.1,43.4
" ","Hillerød",38.8,39.7,40.8
" ","Hørsholm",43.4,44.3,45.4
" ","Rudersdal",41.9,42.3,43.0
" ","Bornholm",44.1,45.4,47.2
" ","Christiansø",45.5,42.1,44.1
" ","Region Sjælland",40.9,41.8,43.0
" ","Greve",39.4,40.7,41.9
" ","Køge",39.1,39.9,41.1
" ","Lejre",40.0,41.1,42.6
" ","Roskilde",39.5,40.3,41.1
" ","Solrød",38.7,40.1,41.1
" ","Faxe",40.5,41.7,43.2
" ","Guldborgsund",43.6,44.3,45.7
" ","Holbæk",39.6,40.5,42.0
" ","Kalundborg",41.2,42.2,43.7
" ","Lolland",44.6,45.7,47.2
" ","Næstved",40.5,41.2,42.2
" ","Odsherred",44.1,45.6,47.2
" ","Ringsted",39.1,39.6,40.8
" ","Slagelse",40.6,41.3,42.4
" ","Sorø",40.4,41.2,42.5
" ","Stevns",42.0,43.2,44.6
" ","Vordingborg",43.1,44.0,45.3
" ","Region Syddanmark",40.3,41.0,42.0
" ","Assens",40.8,41.8,43.3
" ","Faaborg-Midtfyn",41.9,42.6,43.9
" ","Kerteminde",41.5,42.6,44.1
" ","Langeland",46.8,48.4,50.1
" ","Middelfart",41.0,41.8,43.2
" ","Nordfyns",41.0,41.8,43.3
" ","Nyborg",41.9,42.7,43.8
" ","Odense",38.9,39.2,39.3
" ","Svendborg",41.3,42.2,43.4
" ","Ærø",48.4,49.2,50.9
" ","Billund",39.8,40.8,41.9
" ","Esbjerg",39.6,40.4,41.3
" ","Fanø",45.2,46.7,48.7
" ","Fredericia",40.3,40.8,41.7
" ","Haderslev",40.8,41.6,42.7
" ","Kolding",39.0,39.7,40.4
" ","Sønderborg",41.1,42.2,43.4
" ","Tønder",41.5,42.6,44.1
" ","Varde",40.2,41.1,42.4
" ","Vejen",39.8,40.4,41.7
" ","Vejle",39.4,39.9,40.7
" ","Aabenraa",40.8,41.8,43.1
" ","Region Midtjylland",39.1,39.6,40.5
" ","Favrskov",38.2,38.9,40.1
" ","Hedensted",39.3,40.1,41.4
" ","Horsens",39.2,39.4,40.0
" ","Norddjurs",42.0,43.0,44.0
" ","Odder",40.4,41.4,42.9
" ","Randers",40.4,40.7,41.4
" ","Samsø",46.8,48.6,50.2
" ","Silkeborg",39.0,39.7,40.8
" ","Skanderborg",38.0,38.8,40.0
" ","Syddjurs",41.5,42.5,44.1
" ","Aarhus",37.3,37.4,37.6
" ","Herning",38.8,39.5,40.5
" ","Holstebro",39.3,40.0,41.0
" ","Ikast-Brande",39.3,40.0,41.0
" ","Lemvig",41.3,42.7,44.5
" ","Ringkøbing-Skjern",39.7,40.8,42.3
" ","Skive",40.5,41.5,43.0
" ","Struer",40.8,42.1,43.8
" ","Viborg",39.5,40.1,41.0
" ","Region Nordjylland",40.6,41.3,42.1
" ","Brønderslev",41.0,41.5,42.5
" ","Frederikshavn",42.5,43.8,45.2
" ","Hjørring",41.0,42.0,43.2
" ","Jammerbugt",41.0,42.1,43.4
" ","Læsø",48.3,50.3,52.3
" ","Mariagerfjord",40.7,41.5,42.8
" ","Morsø",42.2,43.3,44.6
" ","Rebild",39.3,40.1,41.2
" ","Thisted",41.1,42.1,43.3
" ","Vesthimmerlands",41.0,41.8,42.9
" ","Aalborg",39.4,39.6,39.8

