"Disponibel indkomst efter indkomstinterval, alder, køn, enhed, område"
"og tid"

" "," "," "," "," ","2007","2011","2014"
"Alle"
" ","I alt"
" "," ","Mænd og kvinder i alt"
" "," "," ","Gennemsnit for personer i gruppen (kr.)"
" "," "," "," ","Hele landet",177530,199057,214009
" "," "," "," ","Landsdel Byen København",171424,196833,212311
" "," "," "," ","København",164751,189182,204008
" "," "," "," ","Frederiksberg",195834,224754,245712
" "," "," "," ","Dragør",221681,261933,279821
" "," "," "," ","Tårnby",183218,209500,222582
" "," "," "," ","Landsdel Københavns omegn",199676,225103,244283
" "," "," "," ","Albertslund",164943,182828,192715
" "," "," "," ","Ballerup",179957,202452,219824
" "," "," "," ","Brøndby",165536,185604,193785
" "," "," "," ","Gentofte",301662,339165,378676
" "," "," "," ","Gladsaxe",186991,213516,230224
" "," "," "," ","Glostrup",181519,202928,213912
" "," "," "," ","Herlev",178441,203029,215922
" "," "," "," ","Hvidovre",175357,196751,210133
" "," "," "," ","Høje-Taastrup",179567,198826,209435
" "," "," "," ","Ishøj",165175,181875,189764
" "," "," "," ","Lyngby-Taarbæk",230635,263333,298540
" "," "," "," ","Rødovre",175908,196608,210786
" "," "," "," ","Vallensbæk",204459,225587,244275
" "," "," "," ","Landsdel Nordsjælland",217737,239580,263154
" "," "," "," ","Allerød",228249,261760,280848
" "," "," "," ","Egedal",208161,232521,248827
" "," "," "," ","Fredensborg",213726,235433,257143
" "," "," "," ","Frederikssund",189038,206586,222302
" "," "," "," ","Furesø",226626,254231,282531
" "," "," "," ","Gribskov",195995,210245,228428
" "," "," "," ","Halsnæs",175756,191281,205963
" "," "," "," ","Helsingør",197517,213742,233337
" "," "," "," ","Hillerød",200574,223169,239173
" "," "," "," ","Hørsholm",291323,314966,342182
" "," "," "," ","Rudersdal",287362,316723,370374
" "," "," "," ","Landsdel Bornholm",152750,174636,185032
" "," "," "," ","Landsdel Østsjælland",199055,216972,233766
" "," "," "," ","Greve",207562,222654,238815
" "," "," "," ","Køge",184362,202267,217251
" "," "," "," ","Lejre",198041,217508,233233
" "," "," "," ","Roskilde",199957,219158,236919
" "," "," "," ","Solrød",217627,234748,256135
" "," "," "," ","Landsdel Vest- og Sydsjælland",167829,186852,201138
" "," "," "," ","Faxe",173724,191067,203666
" "," "," "," ","Guldborgsund",159403,173408,189448
" "," "," "," ","Holbæk",175391,195562,210844
" "," "," "," ","Kalundborg",169468,189511,204557
" "," "," "," ","Lolland",147563,168257,182877
" "," "," "," ","Næstved",172441,192912,205699
" "," "," "," ","Odsherred",162555,180222,194726
" "," "," "," ","Ringsted",178779,197182,210613
" "," "," "," ","Slagelse",168166,186917,198836
" "," "," "," ","Sorø",173512,195094,211127
" "," "," "," ","Stevns",179093,198010,213864
" "," "," "," ","Vordingborg",163341,181859,196182
" "," "," "," ","Landsdel Fyn",165443,186629,198212
" "," "," "," ","Assens",164289,184591,194750
" "," "," "," ","Faaborg-Midtfyn",162317,183691,197313
" "," "," "," ","Kerteminde",171517,190155,204194
" "," "," "," ","Langeland",151466,165598,178437
" "," "," "," ","Middelfart",175315,197333,212585
" "," "," "," ","Nordfyns",160911,184924,196073
" "," "," "," ","Nyborg",163164,185598,197224
" "," "," "," ","Odense",165455,186960,196374
" "," "," "," ","Svendborg",167569,189217,203220
" "," "," "," ","Ærø",162993,174333,188210
" "," "," "," ","Landsdel Sydjylland",170711,190478,203523
" "," "," "," ","Billund",174708,195230,210271
" "," "," "," ","Esbjerg",170314,192786,207362
" "," "," "," ","Fanø",192091,215419,230507
" "," "," "," ","Fredericia",173423,191378,203698
" "," "," "," ","Haderslev",166302,182598,193583
" "," "," "," ","Kolding",174979,198340,211240
